 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\24Mg12+_in_He150torr.txt

 Ion = Magnesium [12] , Mass = 23.9785 amu

 Target Density =  3.2096E-05 g/cm3 = 4.8284E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.153E-03  9.642E-03  935.43 um   177.61 um   150.36 um  
  11.00 keV   1.209E-03  9.518E-03    1.02 mm   191.76 um   162.51 um  
  12.00 keV   1.263E-03  9.391E-03    1.11 mm   205.82 um   174.62 um  
  13.00 keV   1.314E-03  9.264E-03    1.20 mm   219.82 um   186.72 um  
  14.00 keV   1.364E-03  9.137E-03    1.29 mm   233.76 um   198.82 um  
  15.00 keV   1.412E-03  9.011E-03    1.38 mm   247.65 um   210.92 um  
  16.00 keV   1.458E-03  8.888E-03    1.47 mm   261.50 um   223.03 um  
  17.00 keV   1.503E-03  8.766E-03    1.56 mm   275.31 um   235.17 um  
  18.00 keV   1.547E-03  8.647E-03    1.65 mm   289.09 um   247.33 um  
  20.00 keV   1.630E-03  8.418E-03    1.83 mm   317.02 um   271.75 um  
  22.50 keV   1.729E-03  8.147E-03    2.07 mm   351.98 um   302.46 um  
  25.00 keV   1.823E-03  7.894E-03    2.31 mm   386.67 um   333.40 um  
  27.50 keV   1.912E-03  7.656E-03    2.56 mm   421.13 um   364.56 um  
  30.00 keV   1.997E-03  7.434E-03    2.80 mm   455.38 um   395.94 um  
  32.50 keV   2.078E-03  7.227E-03    3.06 mm   489.43 um   427.53 um  
  35.00 keV   2.157E-03  7.032E-03    3.31 mm   523.28 um   459.34 um  
