 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\24Mg12+_in_Mylar.txt

 Ion = Magnesium [12] , Mass = 23.9785 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.378E+01  3.211E+02     252 A        86 A        64 A   
  11.00 keV   5.640E+01  3.193E+02     274 A        93 A        69 A   
  12.00 keV   5.891E+01  3.173E+02     296 A        99 A        73 A   
  13.00 keV   6.132E+01  3.150E+02     318 A       106 A        78 A   
  14.00 keV   6.363E+01  3.126E+02     340 A       112 A        83 A   
  15.00 keV   6.587E+01  3.101E+02     363 A       119 A        87 A   
  16.00 keV   6.803E+01  3.075E+02     385 A       125 A        92 A   
  17.00 keV   7.012E+01  3.048E+02     408 A       131 A        96 A   
  18.00 keV   7.215E+01  3.021E+02     430 A       137 A       101 A   
  20.00 keV   7.606E+01  2.968E+02     476 A       150 A       110 A   
  22.50 keV   8.067E+01  2.901E+02     533 A       165 A       121 A   
  25.00 keV   8.503E+01  2.836E+02     591 A       181 A       132 A   
  27.50 keV   8.918E+01  2.773E+02     649 A       196 A       143 A   
  30.00 keV   9.315E+01  2.712E+02     709 A       211 A       155 A   
  32.50 keV   9.695E+01  2.654E+02     768 A       226 A       166 A   
  35.00 keV   1.006E+02  2.598E+02     828 A       240 A       177 A   
  37.50 keV   1.041E+02  2.545E+02     889 A       255 A       188 A   
  40.00 keV   1.076E+02  2.494E+02     950 A       270 A       199 A   
  45.00 keV   1.141E+02  2.398E+02    1074 A       298 A       221 A   
