 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\25Al13+_in_He150torr.txt

 Ion = Aluminum [13] , Mass = 24.9833 amu

 Target Density =  3.2096E-05 g/cm3 = 4.8284E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.411E-03  1.054E-02  869.80 um   163.13 um   138.82 um  
  11.00 keV   1.480E-03  1.043E-02  947.88 um   175.70 um   149.69 um  
  12.00 keV   1.546E-03  1.031E-02    1.03 mm   188.15 um   160.51 um  
  13.00 keV   1.609E-03  1.019E-02    1.11 mm   200.52 um   171.29 um  
  14.00 keV   1.669E-03  1.007E-02    1.18 mm   212.81 um   182.03 um  
  15.00 keV   1.728E-03  9.952E-03    1.26 mm   225.04 um   192.75 um  
  16.00 keV   1.785E-03  9.832E-03    1.35 mm   237.20 um   203.46 um  
  17.00 keV   1.840E-03  9.713E-03    1.43 mm   249.31 um   214.16 um  
  18.00 keV   1.893E-03  9.595E-03    1.51 mm   261.37 um   224.85 um  
  20.00 keV   1.995E-03  9.366E-03    1.67 mm   285.76 um   246.26 um  
  22.50 keV   2.116E-03  9.092E-03    1.88 mm   316.18 um   273.08 um  
  25.00 keV   2.231E-03  8.832E-03    2.09 mm   346.26 um   299.96 um  
  27.50 keV   2.340E-03  8.588E-03    2.31 mm   376.06 um   326.92 um  
  30.00 keV   2.444E-03  8.357E-03    2.53 mm   405.59 um   353.98 um  
  32.50 keV   2.543E-03  8.139E-03    2.75 mm   434.87 um   381.13 um  
  35.00 keV   2.640E-03  7.934E-03    2.97 mm   463.90 um   408.36 um  
