 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\25Al13+_in_Mylar.txt

 Ion = Aluminum [13] , Mass = 24.9833 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.582E+01  3.503E+02     234 A        79 A        59 A   
  11.00 keV   6.903E+01  3.491E+02     254 A        85 A        63 A   
  12.00 keV   7.210E+01  3.475E+02     274 A        90 A        68 A   
  13.00 keV   7.504E+01  3.456E+02     294 A        96 A        72 A   
  14.00 keV   7.788E+01  3.435E+02     314 A       102 A        76 A   
  15.00 keV   8.061E+01  3.413E+02     333 A       107 A        80 A   
  16.00 keV   8.325E+01  3.389E+02     353 A       113 A        84 A   
  17.00 keV   8.582E+01  3.365E+02     374 A       118 A        88 A   
  18.00 keV   8.830E+01  3.340E+02     394 A       124 A        92 A   
  20.00 keV   9.308E+01  3.288E+02     434 A       135 A       100 A   
  22.50 keV   9.873E+01  3.223E+02     485 A       148 A       110 A   
  25.00 keV   1.041E+02  3.159E+02     536 A       161 A       120 A   
  27.50 keV   1.091E+02  3.096E+02     587 A       174 A       129 A   
  30.00 keV   1.140E+02  3.034E+02     639 A       187 A       139 A   
  32.50 keV   1.187E+02  2.975E+02     691 A       200 A       149 A   
  35.00 keV   1.231E+02  2.918E+02     744 A       213 A       158 A   
  37.50 keV   1.275E+02  2.862E+02     797 A       225 A       168 A   
  40.00 keV   1.316E+02  2.809E+02     850 A       237 A       177 A   
  45.00 keV   1.396E+02  2.709E+02     957 A       262 A       196 A   
