 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\26Si13+_in_He100torr.txt

 Ion = Silicon [14] , Mass = 25.9852 amu

 Target Density =  2.1397E-05 g/cm3 = 3.2189E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.469E-03  7.612E-03    1.19 mm   218.70 um   187.43 um  
  11.00 keV   1.541E-03  7.548E-03    1.30 mm   234.67 um   201.46 um  
  12.00 keV   1.609E-03  7.478E-03    1.40 mm   250.42 um   215.34 um  
  13.00 keV   1.675E-03  7.405E-03    1.50 mm   265.98 um   229.10 um  
  14.00 keV   1.738E-03  7.330E-03    1.61 mm   281.37 um   242.75 um  
  15.00 keV   1.799E-03  7.254E-03    1.71 mm   296.61 um   256.32 um  
  16.00 keV   1.858E-03  7.177E-03    1.81 mm   311.71 um   269.81 um  
  17.00 keV   1.915E-03  7.100E-03    1.92 mm   326.68 um   283.23 um  
  18.00 keV   1.971E-03  7.024E-03    2.02 mm   341.52 um   296.59 um  
  20.00 keV   2.077E-03  6.874E-03    2.23 mm   371.38 um   323.17 um  
  22.50 keV   2.203E-03  6.691E-03    2.50 mm   408.33 um   356.17 um  
  25.00 keV   2.322E-03  6.517E-03    2.76 mm   444.56 um   388.96 um  
  27.50 keV   2.436E-03  6.351E-03    3.03 mm   480.13 um   421.58 um  
  30.00 keV   2.544E-03  6.193E-03    3.30 mm   515.11 um   454.04 um  
  32.50 keV   2.648E-03  6.043E-03    3.58 mm   549.53 um   486.36 um  
  35.00 keV   2.748E-03  5.901E-03    3.85 mm   583.42 um   518.54 um  
