 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\26Si13+_in_Mylar.txt

 Ion = Silicon [14] , Mass = 25.9852 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.028E+02  3.789E+02     212 A        69 A        53 A   
  11.00 keV   1.078E+02  3.783E+02     229 A        74 A        56 A   
  12.00 keV   1.126E+02  3.772E+02     247 A        79 A        60 A   
  13.00 keV   1.172E+02  3.758E+02     264 A        83 A        64 A   
  14.00 keV   1.216E+02  3.741E+02     281 A        88 A        67 A   
  15.00 keV   1.259E+02  3.722E+02     298 A        93 A        70 A   
  16.00 keV   1.300E+02  3.701E+02     315 A        97 A        74 A   
  17.00 keV   1.340E+02  3.679E+02     332 A       102 A        77 A   
  18.00 keV   1.379E+02  3.656E+02     349 A       106 A        80 A   
  20.00 keV   1.454E+02  3.608E+02     383 A       115 A        87 A   
  22.50 keV   1.542E+02  3.546E+02     426 A       125 A        95 A   
  25.00 keV   1.625E+02  3.483E+02     468 A       136 A       103 A   
  27.50 keV   1.705E+02  3.421E+02     511 A       146 A       111 A   
  30.00 keV   1.780E+02  3.359E+02     554 A       156 A       118 A   
  32.50 keV   1.853E+02  3.300E+02     596 A       165 A       126 A   
  35.00 keV   1.923E+02  3.241E+02     639 A       175 A       134 A   
  37.50 keV   1.991E+02  3.185E+02     682 A       184 A       141 A   
  40.00 keV   2.056E+02  3.130E+02     724 A       194 A       148 A   
  45.00 keV   2.181E+02  3.026E+02     810 A       212 A       163 A   
