"(12, 0, 7, 0) = CRIB, E7MPV, TDC, geo=0",,,,,,,,,,,,,,,
TREF,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6-48[0],6-16[0],6-49[0],6-17[0],6-52[0],6-20[0],6-53[0],6-21[0],6-56[0],6-24[0],6-57[0],6-25[0],6-60[0],6-28[0],6-61[0],6-29[0]
6-50[0],6-18[0],6-51[0],6-19[0],6-54[0],6-22[0],6-55[0],6-23[0],6-58[0],6-26[0],6-59[0],6-27[0],6-62[0],6-30[0],6-63[0],6-31[0]
6-32[0],6-0[0],6-33[0],6-1[0],6-36[0],6-4[0],6-37[0],6-5[0],6-40[0],6-8[0],6-41[0],6-9[0],6-44[0],6-12[0],6-45[0],6-13[0]
6-34[0],6-2[0],6-35[0],6-3[0],6-38[0],6-6[0],6-39[0],6-7[0],6-42[0],6-10[0],6-43[0],6-11[0],6-46[0],6-14[0],6-47[0],6-15[0]
,,,,,,,,,,,,,,,
"(12, 0, 7, 1) = CRIB, E7MPV, TDC, geo=1",,,,,,,,,,,,,,,
TREF,8-0[0],9-0[0],--,--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
7-48[0],7-16[0],7-49[0],7-17[0],7-52[0],7-20[0],7-53[0],7-21[0],7-56[0],7-24[0],7-57[0],7-25[0],7-60[0],7-28[0],7-61[0],7-29[0]
7-50[0],7-18[0],7-51[0],7-19[0],7-54[0],7-22[0],7-55[0],7-23[0],7-58[0],7-26[0],7-59[0],7-27[0],7-62[0],7-30[0],7-63[0],7-31[0]
7-32[0],7-0[0],7-33[0],7-1[0],7-36[0],7-4[0],7-37[0],7-5[0],7-40[0],7-8[0],7-41[0],7-9[0],7-44[0],7-12[0],7-45[0],7-13[0]
7-34[0],7-2[0],7-35[0],7-3[0],7-38[0],7-6[0],7-39[0],7-7[0],7-42[0],7-10[0],7-43[0],7-11[0],7-46[0],7-14[0],7-47[0],7-15[0]
,,,,,,,,,,,,,,,
"(12, 0, 60, 0) = CRIB, E7MPV, TIMESTAMP, geo=0",,,,,,,,,,,,,,,
101-0[0],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"(12, 1, 6, 0) = CRIB, J1ADC, ADC, geo=0",,,,,,,,,,,,,,,
3-0[0],3-0[1],3-0[2],3-0[3],5-0[0],--,--,--,--,--,--,--,--,--,--,3-0[4]
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,
"(12, 1, 6, 1) = CRIB, J1ADC, ADC, geo=1",,,,,,,,,,,,,,,
20-15[0],20-14[0],20-13[0],20-12[0],20-11[0],20-10[0],20-9[0],20-8[0],20-7[0],20-6[0],20-5[0],20-4[0],20-3[0],20-2[0],20-1[0],20-0[0]
